startYear	startMonth	startDay	startTime	FechaInicio		endYear	endMonth	endDay	endTime	FechaFin
2012	1	1	0	01/01/2012 00:00		2012	12	31	2359	31/12/2012 23:59
2015	1	1	0	01/01/2015 00:00		2015	12	31	2359	31/12/2015 23:59
2018	1	1	0	01/01/2018 00:00		2018	12	31	2359	31/12/2018 23:59
2022	1	1	0	01/01/2022 00:00		2022	12	31	2359	31/12/2022 23:59
2025	1	1	0	01/01/2025 00:00		2025	12	31	2359	31/12/2025 23:59
